,ALTO_PARAGUAY,ALTO_PARANA,AMAMBAY,ASUNCION,BOQUERON,CAAGUAZU,CAAZAPA,CANINDEYU,CENTRAL,CENTRO_EST,CENTRO_NORTE,CENTRO_SUR,CHACO,CONCEPCION,CORDILLERA,GUAIRA,ITAPUA,METROPOLITANO,MISIONES,NEEMBUCU,PARAGUARI,PARAGUAY,PTE_HAYES,SAN_PEDRO
ALTO_PARAGUAY,0.0,0.5417122812054723,0.7035515744126103,0.48971853626137113,0.627773751635592,0.5801945823610201,0.9171092713804655,0.5244211396359583,0.44007915608021975,0.5267547715011627,0.4884257796784384,0.615521425638335,0.5284757662968121,0.6492292034271779,0.5696104688022136,0.8361545872801562,1.2127707623771036,0.451243987195781,0.7874924141828065,0.5431508590490444,1.1571299942134985,0.46384689809024277,0.6986624707082919,0.44355457330779213
ALTO_PARANA,0.5417122812054723,0.0,0.7584103575900626,0.5445773194388234,0.6826325348130444,0.6350533655384725,0.9719680545579178,0.5792799228134106,0.49493793925767204,0.5816135546786151,0.5432845628558907,0.6703802088157874,0.5833345494742646,0.7040879866046303,0.624469251979666,0.8910133704576086,1.2676295455545559,0.5061027703732334,0.8423511973602588,0.5980096422264968,1.2119887773909508,0.5187056812676951,0.7535212538857442,0.4984133564852445
AMAMBAY,0.7035515744126103,0.7584103575900626,0.0,0.7064166126459615,0.8444718280201823,0.7968926587456103,1.1338073477650557,0.7411192160205484,0.65677723246481,0.743452847885753,0.7051238560630285,0.8322195020229253,0.7451738426814026,0.8659272798117682,0.786308545186804,1.0528526636647466,1.4294688387616938,0.6679420635803713,1.0041904905673968,0.7598489354336347,1.3738280705980888,0.6805449744748331,0.9153605470928823,0.6602526496923824
ASUNCION,0.48971853626137113,0.5445773194388234,0.7064166126459615,0.0,0.6306387898689431,0.5830596205943712,0.9199743096138165,0.5272861778693093,0.4429441943135708,0.5296198097345138,0.49129081791178947,0.618386463871686,0.5313408045301632,0.652094241660529,0.5724755070355647,0.8390196255135075,1.2156358006104548,0.4541090254291322,0.7903574524161575,0.5460158972823955,1.1599950324468498,0.46671193632359387,0.7015275089416431,0.4464196115411432
BOQUERON,0.627773751635592,0.6826325348130444,0.8444718280201823,0.6306387898689431,0.0,0.7211148359685922,1.0580295249880374,0.6653413932435303,0.5809994096877918,0.6676750251087348,0.6293460332860105,0.7564416792459071,0.6693960199043842,0.79014945703475,0.7105307224097857,0.9770748408877283,1.3536910159846756,0.5921642408033531,0.9284126677903785,0.6840711126566165,1.2980502478210705,0.6047671516978147,0.8395827243158639,0.5844748269153642
CAAGUAZU,0.5801945823610201,0.6350533655384725,0.7968926587456103,0.5830596205943712,0.7211148359685922,0.0,1.0104503557134654,0.6177622239689583,0.5334202404132199,0.6200958558341628,0.5817668640114385,0.7088625099713352,0.6218168506298124,0.7425702877601781,0.6629515531352138,0.9294956716131564,1.3061118467101036,0.5445850715287811,0.8808334985158067,0.6364919433820445,1.2504710785464985,0.5571879824232429,0.7920035550412922,0.5368956576407923
CAAZAPA,0.9171092713804655,0.9719680545579178,1.1338073477650557,0.9199743096138165,1.0580295249880374,1.0104503557134654,0.0,0.9546769129884036,0.8703349294326651,0.957010544853608,0.9186815530308837,1.0457771989907805,0.9587315396492576,1.0794849767796233,0.999866242154659,1.2664103606326018,1.6430265357295493,0.8814997605482264,1.2177481875352518,0.97340663240149,1.5873857675659437,0.8941026714426882,1.1289182440607375,0.8738103466602376
CANINDEYU,0.5244211396359583,0.5792799228134106,0.7411192160205484,0.5272861778693093,0.6653413932435303,0.6177622239689583,0.9546769129884036,0.0,0.47764679768815793,0.5643224131091009,0.5259934212863765,0.6530890672462731,0.5660434079047504,0.6867968450351162,0.6071781104101518,0.8737222288880945,1.2503384039850418,0.4888116288037192,0.8250600557907446,0.5807185006569826,1.1946976358214367,0.501414539698181,0.73623011231623,0.4811222149157303
CENTRAL,0.44007915608021975,0.49493793925767204,0.65677723246481,0.4429441943135708,0.5809994096877918,0.5334202404132199,0.8703349294326651,0.47764679768815793,0.0,0.47998042955336234,0.44165143773063803,0.5687470836905347,0.4817014243490119,0.6024548614793775,0.5228361268544134,0.7893802453323561,1.1659964204293034,0.40446964524798074,0.7407180722350061,0.49637651710124414,1.1103556522656983,0.41707255614244243,0.6518881287604916,0.3967802313599918
CENTRO_EST,0.5267547715011627,0.5816135546786151,0.743452847885753,0.5296198097345138,0.6676750251087348,0.6200958558341628,0.957010544853608,0.5643224131091009,0.47998042955336234,0.0,0.528327053151581,0.6554226991114777,0.5683770397699549,0.6891304769003206,0.6095117422753563,0.8760558607532989,1.2526720358502461,0.4911452606689237,0.8273936876559492,0.5830521325221871,1.197031267686641,0.5037481715633855,0.7385637441814347,0.48345584678093484
CENTRO_NORTE,0.4884257796784384,0.5432845628558907,0.7051238560630285,0.49129081791178947,0.6293460332860105,0.5817668640114385,0.9186815530308837,0.5259934212863765,0.44165143773063803,0.528327053151581,0.0,0.6170937072887535,0.5300480479472306,0.6508014850775963,0.571182750452632,0.8377268689305747,1.2143430440275218,0.45281626884619935,0.7890646958332249,0.5447231406994627,1.1587022758639167,0.4654191797406611,0.7002347523587104,0.4451268549582104
CENTRO_SUR,0.615521425638335,0.6703802088157874,0.8322195020229253,0.618386463871686,0.7564416792459071,0.7088625099713352,1.0457771989907805,0.6530890672462731,0.5687470836905347,0.6554226991114777,0.6170937072887535,0.0,0.6571436939071272,0.777897131037493,0.6982783964125286,0.9648225148904714,1.3414386899874187,0.579911914806096,0.9161603417931214,0.6718187866593593,1.2857979218238136,0.5925148257005578,0.8273303983186069,0.5722225009181071
CHACO,0.5284757662968121,0.5833345494742646,0.7451738426814026,0.5313408045301632,0.6693960199043842,0.6218168506298124,0.9587315396492576,0.5660434079047504,0.4817014243490119,0.5683770397699549,0.5300480479472306,0.6571436939071272,0.0,0.6908514716959702,0.6112327370710059,0.8777768555489485,1.2543930306458957,0.49286625546457313,0.8291146824515986,0.5847731273178366,1.1987522624822906,0.5054691663590348,0.7402847389770842,0.4851768415765843
