,2019-2020,2020-2021,2021-2022
2019-2020,1.1102230246251565e-16,1.0636830960835232e-05,0.0014863910985392444
2020-2021,1.0636830960835232e-05,-0.0,0.0014055041319696237
2021-2022,0.0014863910985392444,0.0014055041319696237,-0.0
