,2019-2020,2020-2021,2021-2022
2019-2020,-0.0,0.06785252251305898,0.00882048377949272
2020-2021,0.06785252251305898,-0.0,0.047436644157372296
2021-2022,0.00882048377949272,0.047436644157372296,-0.0
