,2019-2020,2020-2021,2021-2022
2019-2020,-0.0,0.08656231628797398,0.03160065697143596
2020-2021,0.08656231628797398,1.1102230246251565e-16,0.02971565096781835
2021-2022,0.03160065697143596,0.02971565096781835,-0.0
