,2019-2020,2020-2021,2021-2022
2019-2020,-0.0,0.03336655034995232,0.015795931153389283
2020-2021,0.03336655034995232,-0.0,0.046101060657602715
2021-2022,0.015795931153389283,0.046101060657602715,-0.0
